year	eeacellcode	classkey	class	specieskey	species	occurrences	mincoordinateuncertaintyinmeters	mintemporaluncertainty	classcount
2024	1kmE3871N3128	220	Magnoliopsida	2891774	Impatiens capensis	1	999.0	86400	14830
2024	1kmE3871N3132	220	Magnoliopsida	2891774	Impatiens capensis	1	7.0	86400	14830
2024	1kmE3872N3131	220	Magnoliopsida	2891774	Impatiens capensis	1	999.0	86400	14830
2024	1kmE3908N3201	220	Magnoliopsida	2891774	Impatiens capensis	1	5000.0	86400	14830
2024	1kmE3910N3200	220	Magnoliopsida	2891774	Impatiens capensis	1	5000.0	86400	14830
2024	1kmE3911N3204	220	Magnoliopsida	2891774	Impatiens capensis	1	1000.0	86400	14830
2024	1kmE3912N3201	220	Magnoliopsida	2891774	Impatiens capensis	1	5000.0	86400	14830
2024	1kmE3913N3201	220	Magnoliopsida	2891774	Impatiens capensis	1	5000.0	86400	14830
2024	1kmE3913N3202	220	Magnoliopsida	2891774	Impatiens capensis	1	5000.0	86400	14830
2024	1kmE3914N3202	220	Magnoliopsida	2891774	Impatiens capensis	1	5000.0	86400	14830
2024	1kmE3914N3204	220	Magnoliopsida	2891774	Impatiens capensis	1	5000.0	86400	14830
2024	1kmE3915N3192	220	Magnoliopsida	2891774	Impatiens capensis	1	5000.0	86400	14830
2024	1kmE3915N3204	220	Magnoliopsida	2891774	Impatiens capensis	1	5000.0	86400	14830
2024	1kmE3918N3197	220	Magnoliopsida	2891774	Impatiens capensis	1	5000.0	86400	14830
2024	1kmE3920N3194	220	Magnoliopsida	2891774	Impatiens capensis	1	5000.0	86400	14830
2024	1kmE3922N3195	220	Magnoliopsida	2891774	Impatiens capensis	1	5000.0	86400	14830
2024	1kmE3922N3199	220	Magnoliopsida	2891774	Impatiens capensis	1	5000.0	86400	14830
2024	1kmE3923N3201	220	Magnoliopsida	2891774	Impatiens capensis	1	1000.0	1	14830
2024	1kmE3924N3196	220	Magnoliopsida	2891774	Impatiens capensis	1	5000.0	86400	14830
2024	1kmE3924N3202	220	Magnoliopsida	2891774	Impatiens capensis	1	1000.0	60	14830
2024	1kmE3924N3203	220	Magnoliopsida	2891774	Impatiens capensis	1	1000.0	86400	14830
2024	1kmE3924N3205	220	Magnoliopsida	2891774	Impatiens capensis	1	5000.0	86400	14830
2024	1kmE3925N3196	220	Magnoliopsida	2891774	Impatiens capensis	1	5000.0	86400	14830
2024	1kmE3927N3110	220	Magnoliopsida	2891774	Impatiens capensis	1	9.0	86400	14830
2024	1kmE3928N3109	220	Magnoliopsida	2891774	Impatiens capensis	1	3.0	86400	14830
2024	1kmE3928N3110	220	Magnoliopsida	2891774	Impatiens capensis	1	15.0	86400	14830
2024	1kmE3928N3207	220	Magnoliopsida	2891774	Impatiens capensis	2	1000.0	86400	14830
2024	1kmE3928N3208	220	Magnoliopsida	2891774	Impatiens capensis	1	1000.0	86400	14830
2024	1kmE3929N3208	220	Magnoliopsida	2891774	Impatiens capensis	1	1000.0	86400	14830
2024	1kmE3929N3209	220	Magnoliopsida	2891774	Impatiens capensis	1	1000.0	86400	14830
2024	1kmE3930N3120	220	Magnoliopsida	2891774	Impatiens capensis	3	3.0	86400	14830
2024	1kmE3930N3203	220	Magnoliopsida	2891774	Impatiens capensis	2	1000.0	86400	14830
2024	1kmE3931N3119	220	Magnoliopsida	2891774	Impatiens capensis	3	3.0	86400	14830
2024	1kmE3931N3120	220	Magnoliopsida	2891774	Impatiens capensis	8	1.0	86400	14830
2024	1kmE3931N3187	220	Magnoliopsida	2891774	Impatiens capensis	1	5000.0	86400	14830
2024	1kmE3931N3202	220	Magnoliopsida	2891774	Impatiens capensis	1	5000.0	86400	14830
2024	1kmE3931N3203	220	Magnoliopsida	2891774	Impatiens capensis	1	1000.0	86400	14830
2024	1kmE3931N3204	220	Magnoliopsida	2891774	Impatiens capensis	2	5000.0	86400	14830
2024	1kmE3932N3199	220	Magnoliopsida	2891774	Impatiens capensis	2	5000.0	86400	14830
2024	1kmE3932N3202	220	Magnoliopsida	2891774	Impatiens capensis	1	5000.0	86400	14830
2024	1kmE3932N3205	220	Magnoliopsida	2891774	Impatiens capensis	1	5000.0	86400	14830
2024	1kmE3932N3206	220	Magnoliopsida	2891774	Impatiens capensis	2	5000.0	86400	14830
2024	1kmE3932N3211	220	Magnoliopsida	2891774	Impatiens capensis	1	5000.0	86400	14830
2024	1kmE3933N3116	220	Magnoliopsida	2891774	Impatiens capensis	2	3.0	86400	14830
2024	1kmE3933N3198	220	Magnoliopsida	2891774	Impatiens capensis	1	5000.0	86400	14830
